"Plan Module","Material","Customer No","Description","Customer Dept","Gender","SO","LI","Order No","Order Qty","Emp","Plan SMV","Date","Plan Efficiency","Qty","Cum Qty","Standard Hours","Cum.Standard Hours","Work Hours","Cum.Work Hours","Section"
"0014-A","7000084618","100262","WM-WL TUG SFTCP 1PC SLD","F5/LE CORE - WOMENS SWIM","WOMEN","D000071249",10,8000373482,428,20,8.56,"2018-01-08",65,428,428,61.1,61.1,93.9,93.9,1
"0014-A","7000084611","100262","WM-WP TUG SFTCP 1PC SLD","F5/LE CORE - WOMENS SWIM","WOMEN","D000071250",10,8000373483,562,20,8.56,"2018-01-08",65,369.2,369.2,52.7,52.7,81,81,1
"0014-A","7000084611","100262","WM-WP TUG SFTCP 1PC SLD","F5/LE CORE - WOMENS SWIM","WOMEN","D000071250",10,8000373483,562,20,8.56,"2018-01-09",65,192.8,562,27.5,80.2,42.3,123.4,1
"0014-A","7000084152","100262","WM-WRD TUG SFTCP 1PC SLD","F5/LE CORE - WOMENS SWIM","WOMEN","D000071247",10,8000373484,249,20,9.6,"2018-01-09",65,249,249,39.8,39.8,61.3,61.3,1
"0014-A","7000084155","100262","WM-WRD TUG SFTCP 1PC SLD","F5/LE CORE - WOMENS SWIM","WOMEN","D000071247",20,8000373485,180,20,9.6,"2018-01-09",65,180,180,28.8,28.8,44.3,44.3,1
"0014-A","7000084158","100262","WM-WRDD TUG SFTCP 1PC SLD","F5/LE CORE - WOMENS SWIM","WOMEN","D000071248",10,8000373486,173,20,9.6,"2018-01-09",65,173,173,27.7,27.7,42.6,42.6,1
"0014-A","7000088731","100262","WM-WR TUG SFTCP 1PC KNOT","F5/LE CORE - WOMENS SWIM","WOMEN","D000071230",10,8000373487,820,20,8.95,"2018-01-09",65,122.7,122.7,18.3,18.3,28.2,28.2,1
"0014-A","7000088731","100262","WM-WR TUG SFTCP 1PC KNOT","F5/LE CORE - WOMENS SWIM","WOMEN","D000071230",10,8000373487,820,20,8.95,"2018-01-10",65,697.3,820,104,122.3,160,188.2,1
"0014-A","7000083664","100262","WM-WR TUG SFTCP 1PC KNOT","F5/LE CORE - WOMENS SWIM","WOMEN","D000071224",10,8000373488,514,20,8.95,"2018-01-10",65,85.6,85.6,12.8,12.8,19.7,19.7,1
"0014-A","7000083664","100262","WM-WR TUG SFTCP 1PC KNOT","F5/LE CORE - WOMENS SWIM","WOMEN","D000071224",10,8000373488,514,20,8.95,"2018-01-11",65,428.4,514,63.9,76.7,98.3,118,1
"0014-A","7000083665","100262","WM-WR TUG SFTCP 1PC KNOT","F5/LE CORE - WOMENS SWIM","WOMEN","D000071226",10,8000395579,469,20,8.95,"2018-01-11",65,469,469,70,70,107.6,107.6,1
"0014-A","7000088730","100262","WM-WR TUG SFTCP 1PC KNOT","F5/LE CORE - WOMENS SWIM","WOMEN","D000071228",10,8000395660,623,20,8.95,"2018-01-11",65,58.4,58.4,8.7,8.7,13.4,13.4,1
"0014-A","7000088730","100262","WM-WR TUG SFTCP 1PC KNOT","F5/LE CORE - WOMENS SWIM","WOMEN","D000071228",10,8000395660,623,20,8.95,"2018-01-12",65,564.6,623,84.2,92.9,129.6,143,1
"0014-A","7000088284","100262","WM-WR TUG SFTCP 1PC SLD","F5/LE CORE - WOMENS SWIM","WOMEN","D000071255",10,8000395661,306,20,8.56,"2018-01-12",65,228.3,228.3,32.6,32.6,50.1,50.1,1
"0023-A","7000114441","100018","(IHS/ITR/SPG)176792 RIB H LOP W/ L U D","U4/","WOMEN","D000071885",10,8000373489,1998,20,16.518,"2018-01-02",45,116.2,728.3,32,200.5,71.1,580,1
"0023-A","7000114441","100018","(IHS/ITR/SPG)176792 RIB H LOP W/ L U D","U4/","WOMEN","D000071885",10,8000373489,1998,20,16.518,"2018-01-02",50,125.1,853.4,34.4,234.9,68.9,648.9,1
"0023-A","7000114441","100018","(IHS/ITR/SPG)176792 RIB H LOP W/ L U D","U4/","WOMEN","D000071885",10,8000373489,1998,20,16.518,"2018-01-03",50,399.6,1253,110,344.9,220,868.9,1
"0023-A","7000114441","100018","(IHS/ITR/SPG)176792 RIB H LOP W/ L U D","U4/","WOMEN","D000071885",10,8000373489,1998,20,16.518,"2018-01-04",50,399.6,1652.5,110,454.9,220,1088.9,1
"0023-A","7000114441","100018","(IHS/ITR/SPG)176792 RIB H LOP W/ L U D","U4/","WOMEN","D000071885",10,8000373489,1998,20,16.518,"2018-01-05",50,326.9,1979.5,90,544.9,180,1268.9,1
"0023-A","7000114441","100018","(IHS/ITR/SPG)176792 RIB H LOP W/ L U D","U4/","WOMEN","D000071885",10,8000373489,1998,20,16.518,"2018-01-06",50,18.5,1998,5.1,550,10.2,1279.1,1
"0023-A","7000114441","100018","(IHS/ITR/SPG)176792 RIB H LOP W/ L U D","U4/","WOMEN","D000071885",10,8000373490,597,20,16.518,"2018-01-06",50,307.8,307.8,84.7,84.7,169.5,169.5,1
"0023-A","7000114441","100018","(IHS/ITR/SPG)176792 RIB H LOP W/ L U D","U4/","WOMEN","D000071885",10,8000373490,597,20,16.518,"2018-01-08",50,289.2,597,79.6,164.4,159.2,328.7,1
"0023-A","7000114441","100018","(IHS/ITR/SPG)176792 RIB H LOP W/ L U D","U4/","WOMEN","D000071885",10,8000373491,256,20,16.518,"2018-01-09",50,256,256,70.5,70.5,141,141,1
"0023-A","7000114441","100018","(IHS/ITR/SPG)176792 RIB H LOP W/ L U D","U4/","WOMEN","D000071885",10,8000373492,856,20,16.518,"2018-01-09",50,143,143,39.4,39.4,78.7,78.7,1
"0023-A","7000114441","100018","(IHS/ITR/SPG)176792 RIB H LOP W/ L U D","U4/","WOMEN","D000071885",10,8000373492,856,20,16.518,"2018-01-10",50,326.9,469.9,90,129.4,180,258.7,1
"0023-A","7000114441","100018","(IHS/ITR/SPG)176792 RIB H LOP W/ L U D","U4/","WOMEN","D000071885",10,8000373492,856,20,16.518,"2018-01-11",50,386.1,856,106.3,235.7,212.6,471.3,1
"0033-A","7000083332","100262","WM-WL NTX PTRT TNKI SLD","F5/LE CORE - WOMENS SWIM","WOMEN","D000071289",10,8000361722,175,20,15.21,"2018-01-02",60,127.9,175,32.4,44.4,54,73.9,1
"0033-A","7000088675","100262","WM-WL NTX PTRT TNKI SLD","F5/LE CORE - WOMENS SWIM","WOMEN","D000071289",30,8000361724,175,20,15.21,"2018-01-02",60,175,175,44.4,44.4,73.9,73.9,1
"0033-A","7000083335","100262","WM-WL NTX PTRT TNKI SLD","F5/LE CORE - WOMENS SWIM","WOMEN","D000071289",20,8000361723,175,20,15.21,"2018-01-02",60,26.9,26.9,6.8,6.8,11.4,11.4,1
"0033-A","7000083335","100262","WM-WL NTX PTRT TNKI SLD","F5/LE CORE - WOMENS SWIM","WOMEN","D000071289",20,8000361723,175,20,15.21,"2018-01-03",60,148.1,175,37.5,44.4,62.6,73.9,1
"0033-A","7000129609","100262","WR NTX PTRT TNKI SLD SD","F5/LE CORE - WOMENS SWIM","WOMEN","1000110958",10,8000361725,280,20,15.21,"2018-01-03",60,280,280,71,71,118.3,118.3,1
"0033-A","7000129610","100262","WR NTX PTRT TNKI SLD SD","F5/LE CORE - WOMENS SWIM","WOMEN","1000110958",20,8000373493,220,20,15.21,"2018-01-03",60,91.1,91.1,23.1,23.1,38.5,38.5,1
"0033-A","7000129610","100262","WR NTX PTRT TNKI SLD SD","F5/LE CORE - WOMENS SWIM","WOMEN","1000110958",20,8000373493,220,20,15.21,"2018-01-04",60,128.9,220,32.7,55.8,54.5,92.9,1
"0033-A","7000135996","100018","175230 LACE UP BANDEAU 093 SD 2ZUO VSD","U4/","WOMEN","1000117436",30,8000395675,1968,20,14.566,"2018-01-08",40,326.6,326.6,79.3,79.3,198.2,198.2,1
"0033-A","7000135996","100018","175230 LACE UP BANDEAU 093 SD 2ZUO VSD","U4/","WOMEN","1000117436",30,8000395675,1968,20,14.566,"2018-01-09",40,35.8,362.5,8.7,88,21.8,220,1
"0033-A","7000135996","100018","175230 LACE UP BANDEAU 093 SD 2ZUO VSD","U4/","WOMEN","1000117436",30,8000395675,1968,20,14.566,"2018-01-09",50,408.3,770.8,99.1,187.1,198.2,418.2,1
"0033-A","7000135996","100018","175230 LACE UP BANDEAU 093 SD 2ZUO VSD","U4/","WOMEN","1000117436",30,8000395675,1968,20,14.566,"2018-01-10",50,44.8,815.6,10.9,198,21.8,440,1
"0033-A","7000135996","100018","175230 LACE UP BANDEAU 093 SD 2ZUO VSD","U4/","WOMEN","1000117436",30,8000395675,1968,20,14.566,"2018-01-10",60,391.1,1206.7,94.9,292.9,158.2,598.2,1
"0033-A","7000135996","100018","175230 LACE UP BANDEAU 093 SD 2ZUO VSD","U4/","WOMEN","1000117436",30,8000395675,1968,20,14.566,"2018-01-11",60,543.7,1750.4,132,424.9,220,818.2,1
"0033-A","7000135996","100018","175230 LACE UP BANDEAU 093 SD 2ZUO VSD","U4/","WOMEN","1000117436",30,8000395675,1968,20,14.566,"2018-01-12",60,217.6,1968,52.8,477.8,88,906.3,1
"0033-A","7000136022","100015","175230 LACE UP BANDEAU 3Y63 PR VSS","90/","WOMEN","1000117222",10,8000396520,1112,20,14.566,"2018-01-12",60,226.5,226.5,55,55,91.6,91.6,1
"0034-A","7000084169","100262","WM-WR TUG SFTCP 1PC CNTL SLD","F5/LE CORE - WOMENS SWIM","WOMEN","D000071239",10,8000361734,271,20,9.14,"2018-01-02",40,58.1,271,8.9,41.3,22.1,103.2,1
"0034-A","7000084163","100262","WM-WR TUG SFTCP 1PC CNTL SLD","F5/LE CORE - WOMENS SWIM","WOMEN","D000071232",10,8000361736,545,20,9.14,"2018-01-02",55,424.3,424.3,64.6,64.6,117.5,117.5,1
"0034-A","7000084163","100262","WM-WR TUG SFTCP 1PC CNTL SLD","F5/LE CORE - WOMENS SWIM","WOMEN","D000071232",10,8000361736,545,20,9.14,"2018-01-03",55,120.7,545,18.4,83,33.4,150.9,1
"0034-A","7000084172","100262","WM-WR TUG SFTCP 1PC CNTL SLD","F5/LE CORE - WOMENS SWIM","WOMEN","D000071232",30,8000373494,376,20,9.14,"2018-01-03",55,376,376,57.3,57.3,104.1,104.1,1
"0034-A","7000084176","100262","WM-WR TUG SFTCP 1PC CNTL SLD","F5/LE CORE - WOMENS SWIM","WOMEN","D000071232",40,8000373495,480,20,9.14,"2018-01-03",55,295.2,295.2,45,45,81.8,81.8,1
"0034-A","7000084176","100262","WM-WR TUG SFTCP 1PC CNTL SLD","F5/LE CORE - WOMENS SWIM","WOMEN","D000071232",40,8000373495,480,20,9.14,"2018-01-04",55,184.8,480,28.1,73.1,51.2,132.9,1
"0034-A","7000083735","100262","WM-WL TUG SFTCP 1PC CNTL SLD","F5/LE CORE - WOMENS SWIM","WOMEN","D000071233",10,8000373497,594,20,9.14,"2018-01-04",55,594,594,90.5,90.5,164.5,164.5,1
"0034-A","7000083736","100262","WM-WL TUG SFTCP 1PC CNTL SLD","F5/LE CORE - WOMENS SWIM","WOMEN","D000071240",10,8000373496,175,20,9.14,"2018-01-04",55,13.2,13.2,2,2,3.6,3.6,1
"0034-A","7000083736","100262","WM-WL TUG SFTCP 1PC CNTL SLD","F5/LE CORE - WOMENS SWIM","WOMEN","D000071240",10,8000373496,175,20,9.14,"2018-01-05",55,161.8,175,24.7,26.7,44.8,48.5,1
"0034-A","7000087923","100262","WM-WL TUG SFTCP 1PC CNTL SLD","F5/LE CORE - WOMENS SWIM","WOMEN","D000071233",30,8000373498,464,20,9.14,"2018-01-05",55,464,464,70.7,70.7,128.5,128.5,1
"0034-A","7000083738","100262","WM-WL TUG SFTCP 1PC CNTL SLD","F5/LE CORE - WOMENS SWIM","WOMEN","D000071233",20,8000373499,180,20,9.14,"2018-01-05",55,21.7,21.7,3.3,3.3,6,6,1
"0034-A","7000083738","100262","WM-WL TUG SFTCP 1PC CNTL SLD","F5/LE CORE - WOMENS SWIM","WOMEN","D000071233",20,8000373499,180,20,9.14,"2018-01-06",55,158.3,180,24.1,27.4,43.9,49.9,1
"0034-A","7000087925","100262","WM-WL TUG SFTCP 1PC CNTL SLD","F5/LE CORE - WOMENS SWIM","WOMEN","D000071233",40,8000373501,125,20,9.14,"2018-01-06",55,125,125,19,19,34.6,34.6,1
"0034-A","7000084178","100262","WM-WP TUG SFTCP 1PC CNTL SLD","F5/LE CORE - WOMENS SWIM","WOMEN","D000071234",10,8000373500,448,20,9.14,"2018-01-06",55,364.2,364.2,55.5,55.5,100.9,100.9,1
"0034-A","7000084178","100262","WM-WP TUG SFTCP 1PC CNTL SLD","F5/LE CORE - WOMENS SWIM","WOMEN","D000071234",10,8000373500,448,20,9.14,"2018-01-08",55,83.8,448,12.8,68.2,23.2,124.1,1
"0034-A","7000084181","100262","WM-WP TUG SFTCP 1PC CNTL SLD","F5/LE CORE - WOMENS SWIM","WOMEN","D000071234",20,8000373502,340,20,9.14,"2018-01-08",55,340,340,51.8,51.8,94.2,94.2,1
"0034-A","7000084164","100262","WM-WR TUG SFTCP 1PC CNTL SLD","F5/LE CORE - WOMENS SWIM","WOMEN","D000071236",10,8000373503,454,20,9.14,"2018-01-08",55,328.9,328.9,50.1,50.1,91.1,91.1,1
"0034-A","7000084164","100262","WM-WR TUG SFTCP 1PC CNTL SLD","F5/LE CORE - WOMENS SWIM","WOMEN","D000071236",10,8000373503,454,20,9.14,"2018-01-09",55,125.1,454,19.1,69.2,34.7,125.7,1
"0034-A","7000084173","100262","WM-WR TUG SFTCP 1PC CNTL SLD","F5/LE CORE - WOMENS SWIM","WOMEN","D000071236",20,8000373504,334,20,9.14,"2018-01-09",55,334,334,50.9,50.9,92.5,92.5,1
"0034-A","7000084165","100262","WM-WR TUG SFTCP 1PC CNTL SLD","F5/LE CORE - WOMENS SWIM","WOMEN","D000071238",10,8000373505,330,20,9.14,"2018-01-09",55,330,330,50.3,50.3,91.4,91.4,1
"0034-A","7000084174","100262","WM-WR TUG SFTCP 1PC CNTL SLD","F5/LE CORE - WOMENS SWIM","WOMEN","D000071238",20,8000373506,309,20,9.14,"2018-01-09",55,1.6,1.6,0.2,0.2,0.4,0.4,1
"0034-A","7000084174","100262","WM-WR TUG SFTCP 1PC CNTL SLD","F5/LE CORE - WOMENS SWIM","WOMEN","D000071238",20,8000373506,309,20,9.14,"2018-01-10",55,307.4,309,46.8,47.1,85.1,85.6,1
"0034-A","7000083670","100262","(CPP/F/PIN/SPG)WXR S&E V NEK TNK TOS ORC","F5/LE CORE - WOMENS SWIM","WOMEN","D000071119",10,8000373507,319,34,25.32,"2018-01-10",8.3,31.6,31.6,13.3,13.3,160.7,160.7,1
"0034-A","7000083670","100262","(CPP/F/PIN/SPG)WXR S&E V NEK TNK TOS ORC","F5/LE CORE - WOMENS SWIM","WOMEN","D000071119",10,8000373507,319,34,25.32,"2018-01-11",8.3,28.6,60.2,12.1,25.4,145.3,306,1
